시설유형,휴관일,CLOSE,OPEN,주소,승마장이름,전화번호,지역
"그린승마존, 유소년승마시설",월,19:30,09:00,경상북도 영천시 금호읍 대배길 12,사과꽃말이야기,054-335-0025,경상북도
"그린승마존, 유소년승마시설, 승용조련시설",월,18:00,09:00,제주특별자치도 서귀포시 안덕면 산록남로 568,산도스카발리오홀스파크,064-792-8414,제주특별자치도
"그린승마존, 유소년승마시설","월, 화",00:00,00:00,경기도 화성시 비봉면 자청로207번길 21-49,산들래승마클럽,010-3344-0231,경기도
"그린승마존, 유소년승마시설, 승용조련시설",월,18:00,09:00,경기도 의정부시 동일로192번길 28-29 (장암동),서울승마클럽,031-872-2700,경기도
그린승마존,월,18:00,09:00,부산광역시 기장군 일광면 화용길 440,동부산승마장,051-742-6227,부산광역시
그린승마존,-,00:00,00:00,광주광역시 광산구 동곡서호길 21-36 (본덕동),홀스앤팜 승마클럽,062-942-3400,광주광역시
그린승마존,월,18:00,09:30,충청남도 논산시 관촉로58번길 29-2,논산승마월드,041-736-9865,충청남도
그린승마존,월,18:00,09:00,경상북도 성주군 성주읍 용산2길 32-20 (별고을승마장),별고을승마장,053-637-1700,경상북도
"그린승마존, 유소년승마시설","월, 화",18:00,09:00,전북특별자치도 진안군 용담면 대송로 20-3,진안용담승마클럽,063-433-5004,전북특별자치도
"그린승마존, 유소년승마시설",월,20:00,09:00,경상북도 안동시 와룡면 금통골길 33-6,프린스승마클럽,053-3829-9674,경상북도
그린승마존,월,18:00,09:00,경상북도 안동시 와룡면 퇴계로 1049-11,와룡태리승마장,054-841-4629,경상북도
그린승마존,"월, 화",18:30,08:30,전라남도 여수시 화양면 화양로 1020-52,여수재활승마장,061-692-5288,전라남도
"그린승마존, 승용조련시설",-,22:00,10:00,경상북도 경주시 내남면 반구대로 3501-110,농업회사법인 자연마술승마학교 주식회사,054-746-3688,경상북도
"그린승마존, 유소년승마시설, 승용조련시설",월,17:00,08:00,경기도 화성시 우정읍 석천안길190번길 22-44,SSB승마센터,031-351-7115,경기도
"그린승마존, 유소년승마시설, 승용조련시설",-,18:00,09:00,경기도 화성시 매송면 화성로 2414,세인트이콰인승마,031-298-2588,경기도
"그린승마존, 유소년승마시설, 재활힐링승마시설",월,00:00,00:00,제주특별자치도 제주시 산천단남길 42,제주대학교 말산업전문인력양성센터,064-757-4482,제주특별자치도
그린승마존,"토, 일",00:00,00:00,전북특별자치도 남원시 운봉읍 황산로 952,한국경마축산고,063-634-2031,전북특별자치도
그린승마존,월,19:00,08:30,부산광역시 기장군 장안읍 기장대로 1647-149,부산기장승마장,051-727-6988,부산광역시
"그린승마존, 유소년승마시설",월,00:00,00:00,경기도 화성시 비봉면 자청로 190,비봉승마장,010-3391-0768,경기도
"그린승마존, 유소년승마시설",-,00:00,00:00,경상남도 통영시 광도면 전두1길 135-89,통영산들해승마장,055-646-0755,경상남도
그린승마존,월,18:00,09:00,경기도 파주시 법원읍 만월로675번길 90,그랜드승마장,031-958-0103,경기도
그린승마존,-,00:00,00:00,제주특별자치도 제주시 조천읍 번영로 1118-33,뱅듸승마클럽,070-7576-2696,제주특별자치도
"그린승마존, 승용조련시설",월,18:00,09:00,경상북도 김천시 봉산면 상금길 379-37,즐거운승마클럽,010-9377-9800,경상북도
그린승마존,월,18:30,09:00,충청남도 천안시 동남구 병천면 매봉로 497,주몽승마장,041-552-6050,충청남도
"그린승마존, 유소년승마시설",월,18:00,09:00,제주특별자치도 제주시 한림읍 광산로 395-46,힐링팜승마장,064-799-6443,제주특별자치도
"그린승마존, 유소년승마시설, 승용조련시설",화,00:00,00:00,제주특별자치도 제주시 조천읍 미래로 165-10,운주승마클럽,064-783-9903,제주특별자치도
그린승마존,월,00:00,00:00,대구광역시 달성군 화원읍 명곡로 118,달구벌함박승마공원,053-564-7700,대구광역시
그린승마존,월,21:00,09:00,전북특별자치도 완주군 삼례읍 삼례로 248,한필마장,063-291-1427,전북특별자치도
"그린승마존, 유소년승마시설",월,18:00,09:00,경기도 용인시 처인구 양지면 평창로154번길 17,용인포니클럽,031-322-8522,경기도
그린승마존,-,00:00,00:00,경기도 김포시 하성면 봉성로 188-80,한강승마클럽,010-9407-6794,경기도
그린승마존,월,00:00,00:00,제주특별자치도 제주시 구좌읍 금백조로 902-102,브리더스 파크 승마클럽,064-784-0669,제주특별자치도
"그린승마존, 유소년승마시설, 승용조련시설",-,00:00,00:00,제주특별자치도 제주시 한림읍 가린내길 99,홀스홀릭포니클럽,010-8670-6640,제주특별자치도
"그린승마존, 유소년승마시설",월,00:00,00:00,경상남도 남해군 창선면 동부대로 2310,남해군승마장(보물섬승마랜드),055-867-8809,경상남도
"그린승마존, 유소년승마시설",월,00:00,00:00,경기도 파주시 장자울길 4-33,교하스카이승마장,010-5279-3053,경기도
"그린승마존, 유소년승마시설, 승용조련시설",수,18:00,09:00,경기도 이천시 백사면 청백리로499번길 238,청초원승마장,031-633-4603,경기도
그린승마존,월,18:00,09:00,충청남도 천안시 동남구 목천읍 독립기념관로 1,천안시승마협회,041-565-8080,충청남도
그린승마존,-,00:00,00:00,제주특별자치도 서귀포시 안덕면 신화역사로403번길 79,아리온승마장,064-792-2016,제주특별자치도
"그린승마존, 유소년승마시설",월,18:40,09:10,경상북도 포항시 북구 흥해읍 삼흥로501번길 24-31,포항승마클럽,054-249-1333,경상북도
"그린승마존, 재활힐링승마시설",월,18:00,09:00,전북특별자치도 익산시 용안면 강변로 1105,익산시 공공승마장,063-862-7871,전북특별자치도
그린승마존,월,18:00,08:00,제주특별자치도 제주시 해안마을7길 211(해안동),제이앤 승마클럽,010-9082-2866,제주특별자치도
"그린승마존, 유소년승마시설",화,18:00,09:00,강원특별자치도 원주시 문막읍 탑전길 50,프리미어아레나,033-734-1141,강원특별자치도
그린승마존,월,21:00,09:00,경상남도 진주시 내동면 칠봉산길 104-26,진주승마클럽,055-755-7526,경상남도
"그린승마존, 유소년승마시설",월,18:00,09:00,제주특별자치도 서귀포시 상예로 353(상예동),초원승마클럽,010-9113-9903,제주특별자치도
그린승마존,월,21:00,09:00,전북특별자치도 김제시 용지면 콩쥐팥쥐로 779-35,소프라승마클럽,063-544-5533,전북특별자치도
"그린승마존, 승용조련시설",월,18:00,09:00,경기도 안성시 일죽면 고목남길 95-18,승마훈련원 금안회,031-676-4176,경기도
"그린승마존, 유소년승마시설",-,20:00,09:00,전북특별자치도 완주군 삼례읍 신탁길 201,황진오승마클럽,010-2214-9779,전북특별자치도
그린승마존,월,18:00,09:00,경기도 남양주시 화도읍 비룡로360번길 15-17,비스타밸리,010-9591-2275,경기도
그린승마존,월,19:00,08:00,제주특별자치도 제주시 애월읍 유소길 91-39,저스트홀스,010-5410-8378,제주특별자치도
"그린승마존, 승용조련시설",-,00:00,00:00,경상북도 포항시 북구 기계면 학야길215번길 59,엘포리 승마클럽,054-232-3151,경상북도
"그린승마존, 유소년승마시설, 승용조련시설, 재활힐링승마시설",월,18:00,09:00,전북특별자치도 완주군 화산면 신공길 51-53,완주승마장,010-4862-6979,전북특별자치도
그린승마존,월,07:00,07:00,제주특별자치도 제주시 종천길 293-43 (오라이동),(주)제주홀스랜드,010-8025-1971,제주특별자치도
그린승마존,월,18:00,09:00,전북특별자치도 순창군 풍산면 아미로 594-6,아미승마클럽,063-652-5593,전북특별자치도
그린승마존,"월, 화",00:00,00:00,대구광역시 군위군 의흥면 일연테마로 100,오늘의 포니,054-382-8676,대구광역시
그린승마존,월,18:00,08:00,전라남도 보성군 율어면 선암길 661,마림승마목장,010-4623-8246,전라남도
그린승마존,월,19:00,09:00,경상북도 청도군 화양읍 홍도길 38,청도 승마장,010-7302-3257,경상북도
"그린승마존, 유소년승마시설, 승용조련시설",-,18:00,08:00,경기도 용인시 처인구 양지면 중부대로2670번길 87,제이피승마클럽,010-2106-6767,경기도
그린승마존,-,19:00,08:30,경상북도 영천시 청통면 금송로 934-1,제이원승마센터,054-335-6128,경상북도
그린승마존,월,18:00,08:00,경기도 오산시 배무니로 21 (지곶동),세마대승마장(주식회사인터네셔널에스엠디),031-372-2255,경기도
그린승마존,"월, 화",18:00,09:00,경상남도 함양군 함양읍 삼휴길 134,함양승마클럽,055-963-9638,경상남도
"그린승마존, 승용조련시설",월,18:00,09:00,제주특별자치도 제주시 애월읍 산록서로 81,더홀스승마센터,010-2732-3666,제주특별자치도
"그린승마존, 유소년승마시설",월,00:00,00:00,경상남도 창원시 의창구 북면 백월로295번길 26-46,동백승마클럽,010-7517-1186,경상남도
그린승마존,"월, 화",17:00,09:00,충청남도 예산군 대술면 마전삼베실길 56-32,말길 홀스브릿지,010-2031-5548,충청남도
"그린승마존, 유소년승마시설",월,19:00,09:30,충청북도 보은군 탄부면 월송로 364,보은승마아카데미,010-4264-1164,충청북도
그린승마존,월,00:00,00:00,전북특별자치도 익산시 삼기면 용연길 271,익산승마장,010-2979-2833,전북특별자치도
