word,meaning,level,example_sentence,example_translation
interview,면접,basic,We discussed the interview during the morning meeting.,우리는 오전 회의에서 '면접' 관련 내용을 논의했습니다.
resume,이력서,basic,The staff prepared the resume for today's schedule.,직원들은 오늘 일정에 맞춰 '이력서' 관련 내용을 준비했습니다.
application,"지원서, 신청서",basic,The manager reviewed the application before the meeting.,"관리자는 회의 전에 '지원서, 신청서' 관련 내용을 검토했습니다."
salary,급여,basic,Please check the salary before you leave the office.,사무실을 떠나기 전에 '급여' 관련 내용을 확인해 주세요.
wage,임금,basic,The wage was mentioned in the company announcement.,회사 공지에서 '임금' 관련 내용이 언급되었습니다.
bonus,상여금,basic,We discussed the bonus during the morning meeting.,우리는 오전 회의에서 '상여금' 관련 내용을 논의했습니다.
benefit,"혜택, 복리후생",basic,The staff prepared the benefit for today's schedule.,"직원들은 오늘 일정에 맞춰 '혜택, 복리후생' 관련 내용을 준비했습니다."
vacation,휴가,basic,The manager reviewed the vacation before the meeting.,관리자는 회의 전에 '휴가' 관련 내용을 검토했습니다.
holiday,휴일,basic,Please check the holiday before you leave the office.,사무실을 떠나기 전에 '휴일' 관련 내용을 확인해 주세요.
schedule,일정,basic,The schedule was mentioned in the company announcement.,회사 공지에서 '일정' 관련 내용이 언급되었습니다.
shift,"근무조, 교대",basic,We discussed the shift during the morning meeting.,"우리는 오전 회의에서 '근무조, 교대' 관련 내용을 논의했습니다."
training,"교육, 훈련",basic,The staff prepared the training for today's schedule.,"직원들은 오늘 일정에 맞춰 '교육, 훈련' 관련 내용을 준비했습니다."
skill,"기술, 능력",basic,The manager reviewed the skill before the meeting.,"관리자는 회의 전에 '기술, 능력' 관련 내용을 검토했습니다."
experience,경험,basic,Please check the experience before you leave the office.,사무실을 떠나기 전에 '경험' 관련 내용을 확인해 주세요.
ability,능력,basic,The ability was mentioned in the company announcement.,회사 공지에서 '능력' 관련 내용이 언급되었습니다.
responsibility,책임,basic,We discussed the responsibility during the morning meeting.,우리는 오전 회의에서 '책임' 관련 내용을 논의했습니다.
task,"업무, 과제",basic,The staff prepared the task for today's schedule.,"직원들은 오늘 일정에 맞춰 '업무, 과제' 관련 내용을 준비했습니다."
project,프로젝트,basic,The manager reviewed the project before the meeting.,관리자는 회의 전에 '프로젝트' 관련 내용을 검토했습니다.
plan,계획,basic,Please check the plan before you leave the office.,사무실을 떠나기 전에 '계획' 관련 내용을 확인해 주세요.
goal,목표,basic,The goal was mentioned in the company announcement.,회사 공지에서 '목표' 관련 내용이 언급되었습니다.
result,결과,basic,We discussed the result during the morning meeting.,우리는 오전 회의에서 '결과' 관련 내용을 논의했습니다.
report,보고서,basic,The staff prepared the report for today's schedule.,직원들은 오늘 일정에 맞춰 '보고서' 관련 내용을 준비했습니다.
document,문서,basic,The manager reviewed the document before the meeting.,관리자는 회의 전에 '문서' 관련 내용을 검토했습니다.
file,"파일, 서류",basic,Please check the file before you leave the office.,"사무실을 떠나기 전에 '파일, 서류' 관련 내용을 확인해 주세요."
record,기록,basic,The record was mentioned in the company announcement.,회사 공지에서 '기록' 관련 내용이 언급되었습니다.
information,정보,basic,We discussed the information during the morning meeting.,우리는 오전 회의에서 '정보' 관련 내용을 논의했습니다.
data,"자료, 데이터",basic,The staff prepared the data for today's schedule.,"직원들은 오늘 일정에 맞춰 '자료, 데이터' 관련 내용을 준비했습니다."
detail,세부사항,basic,The manager reviewed the detail before the meeting.,관리자는 회의 전에 '세부사항' 관련 내용을 검토했습니다.
notice,"공지, 통지",basic,Please check the notice before you leave the office.,"사무실을 떠나기 전에 '공지, 통지' 관련 내용을 확인해 주세요."
announcement,"발표, 공지",basic,The announcement was mentioned in the company announcement.,"회사 공지에서 '발표, 공지' 관련 내용이 언급되었습니다."
message,메시지,basic,We discussed the message during the morning meeting.,우리는 오전 회의에서 '메시지' 관련 내용을 논의했습니다.
email,이메일,basic,The staff prepared the email for today's schedule.,직원들은 오늘 일정에 맞춰 '이메일' 관련 내용을 준비했습니다.
letter,편지,basic,The manager reviewed the letter before the meeting.,관리자는 회의 전에 '편지' 관련 내용을 검토했습니다.
mail,"우편, 메일",basic,Please check the mail before you leave the office.,"사무실을 떠나기 전에 '우편, 메일' 관련 내용을 확인해 주세요."
phone,전화,basic,The phone was mentioned in the company announcement.,회사 공지에서 '전화' 관련 내용이 언급되었습니다.
call,"전화, 통화",basic,We discussed the call during the morning meeting.,"우리는 오전 회의에서 '전화, 통화' 관련 내용을 논의했습니다."
contact,"연락, 연락처",basic,The staff prepared the contact for today's schedule.,"직원들은 오늘 일정에 맞춰 '연락, 연락처' 관련 내용을 준비했습니다."
address,주소,basic,The manager reviewed the address before the meeting.,관리자는 회의 전에 '주소' 관련 내용을 검토했습니다.
name,이름,basic,Please check the name before you leave the office.,사무실을 떠나기 전에 '이름' 관련 내용을 확인해 주세요.
number,"번호, 수",basic,The number was mentioned in the company announcement.,"회사 공지에서 '번호, 수' 관련 내용이 언급되었습니다."
date,날짜,basic,We discussed the date during the morning meeting.,우리는 오전 회의에서 '날짜' 관련 내용을 논의했습니다.
time,시간,basic,The staff prepared the time for today's schedule.,직원들은 오늘 일정에 맞춰 '시간' 관련 내용을 준비했습니다.
place,장소,basic,The manager reviewed the place before the meeting.,관리자는 회의 전에 '장소' 관련 내용을 검토했습니다.
location,"위치, 장소",basic,Please check the location before you leave the office.,"사무실을 떠나기 전에 '위치, 장소' 관련 내용을 확인해 주세요."
building,건물,basic,The building was mentioned in the company announcement.,회사 공지에서 '건물' 관련 내용이 언급되었습니다.
floor,"층, 바닥",basic,We discussed the floor during the morning meeting.,"우리는 오전 회의에서 '층, 바닥' 관련 내용을 논의했습니다."
room,"방, 회의실",basic,The staff prepared the room for today's schedule.,"직원들은 오늘 일정에 맞춰 '방, 회의실' 관련 내용을 준비했습니다."
desk,책상,basic,The manager reviewed the desk before the meeting.,관리자는 회의 전에 '책상' 관련 내용을 검토했습니다.
chair,의자,basic,Please check the chair before you leave the office.,사무실을 떠나기 전에 '의자' 관련 내용을 확인해 주세요.
computer,컴퓨터,basic,The computer was mentioned in the company announcement.,회사 공지에서 '컴퓨터' 관련 내용이 언급되었습니다.
printer,프린터,basic,We discussed the printer during the morning meeting.,우리는 오전 회의에서 '프린터' 관련 내용을 논의했습니다.
machine,기계,basic,The staff prepared the machine for today's schedule.,직원들은 오늘 일정에 맞춰 '기계' 관련 내용을 준비했습니다.
equipment,장비,basic,The manager reviewed the equipment before the meeting.,관리자는 회의 전에 '장비' 관련 내용을 검토했습니다.
device,장치,basic,Please check the device before you leave the office.,사무실을 떠나기 전에 '장치' 관련 내용을 확인해 주세요.
system,시스템,basic,The system was mentioned in the company announcement.,회사 공지에서 '시스템' 관련 내용이 언급되었습니다.
software,소프트웨어,basic,We discussed the software during the morning meeting.,우리는 오전 회의에서 '소프트웨어' 관련 내용을 논의했습니다.
website,웹사이트,basic,The staff prepared the website for today's schedule.,직원들은 오늘 일정에 맞춰 '웹사이트' 관련 내용을 준비했습니다.
internet,인터넷,basic,The manager reviewed the internet before the meeting.,관리자는 회의 전에 '인터넷' 관련 내용을 검토했습니다.
network,네트워크,basic,Please check the network before you leave the office.,사무실을 떠나기 전에 '네트워크' 관련 내용을 확인해 주세요.
password,비밀번호,basic,The password was mentioned in the company announcement.,회사 공지에서 '비밀번호' 관련 내용이 언급되었습니다.
account,계정,basic,We discussed the account during the morning meeting.,우리는 오전 회의에서 '계정' 관련 내용을 논의했습니다.
service,서비스,basic,The staff prepared the service for today's schedule.,직원들은 오늘 일정에 맞춰 '서비스' 관련 내용을 준비했습니다.
product,제품,basic,The manager reviewed the product before the meeting.,관리자는 회의 전에 '제품' 관련 내용을 검토했습니다.
item,"품목, 물건",basic,Please check the item before you leave the office.,"사무실을 떠나기 전에 '품목, 물건' 관련 내용을 확인해 주세요."
goods,상품,basic,The goods was mentioned in the company announcement.,회사 공지에서 '상품' 관련 내용이 언급되었습니다.
order,주문,basic,We discussed the order during the morning meeting.,우리는 오전 회의에서 '주문' 관련 내용을 논의했습니다.
purchase,구매,basic,The staff prepared the purchase for today's schedule.,직원들은 오늘 일정에 맞춰 '구매' 관련 내용을 준비했습니다.
sale,"판매, 할인",basic,The manager reviewed the sale before the meeting.,"관리자는 회의 전에 '판매, 할인' 관련 내용을 검토했습니다."
price,가격,basic,Please check the price before you leave the office.,사무실을 떠나기 전에 '가격' 관련 내용을 확인해 주세요.
cost,비용,basic,The cost was mentioned in the company announcement.,회사 공지에서 '비용' 관련 내용이 언급되었습니다.
fee,"요금, 수수료",basic,We discussed the fee during the morning meeting.,"우리는 오전 회의에서 '요금, 수수료' 관련 내용을 논의했습니다."
charge,"요금, 비용",basic,The staff prepared the charge for today's schedule.,"직원들은 오늘 일정에 맞춰 '요금, 비용' 관련 내용을 준비했습니다."
payment,"지불, 결제",basic,The manager reviewed the payment before the meeting.,"관리자는 회의 전에 '지불, 결제' 관련 내용을 검토했습니다."
cash,현금,basic,Please check the cash before you leave the office.,사무실을 떠나기 전에 '현금' 관련 내용을 확인해 주세요.
credit,"신용, 외상",basic,The credit was mentioned in the company announcement.,"회사 공지에서 '신용, 외상' 관련 내용이 언급되었습니다."
card,카드,basic,We discussed the card during the morning meeting.,우리는 오전 회의에서 '카드' 관련 내용을 논의했습니다.
bill,청구서,basic,The staff prepared the bill for today's schedule.,직원들은 오늘 일정에 맞춰 '청구서' 관련 내용을 준비했습니다.
invoice,"송장, 청구서",basic,The manager reviewed the invoice before the meeting.,"관리자는 회의 전에 '송장, 청구서' 관련 내용을 검토했습니다."
receipt,영수증,basic,Please check the receipt before you leave the office.,사무실을 떠나기 전에 '영수증' 관련 내용을 확인해 주세요.
refund,환불,basic,The refund was mentioned in the company announcement.,회사 공지에서 '환불' 관련 내용이 언급되었습니다.
discount,할인,basic,We discussed the discount during the morning meeting.,우리는 오전 회의에서 '할인' 관련 내용을 논의했습니다.
coupon,쿠폰,basic,The staff prepared the coupon for today's schedule.,직원들은 오늘 일정에 맞춰 '쿠폰' 관련 내용을 준비했습니다.
budget,예산,basic,The manager reviewed the budget before the meeting.,관리자는 회의 전에 '예산' 관련 내용을 검토했습니다.
money,돈,basic,Please check the money before you leave the office.,사무실을 떠나기 전에 '돈' 관련 내용을 확인해 주세요.
bank,은행,basic,The bank was mentioned in the company announcement.,회사 공지에서 '은행' 관련 내용이 언급되었습니다.
branch,지점,basic,We discussed the branch during the morning meeting.,우리는 오전 회의에서 '지점' 관련 내용을 논의했습니다.
loan,대출,basic,The staff prepared the loan for today's schedule.,직원들은 오늘 일정에 맞춰 '대출' 관련 내용을 준비했습니다.
interest,"이자, 관심",basic,The manager reviewed the interest before the meeting.,"관리자는 회의 전에 '이자, 관심' 관련 내용을 검토했습니다."
tax,세금,basic,Please check the tax before you leave the office.,사무실을 떠나기 전에 '세금' 관련 내용을 확인해 주세요.
income,소득,basic,The income was mentioned in the company announcement.,회사 공지에서 '소득' 관련 내용이 언급되었습니다.
profit,이익,basic,We discussed the profit during the morning meeting.,우리는 오전 회의에서 '이익' 관련 내용을 논의했습니다.
loss,손실,basic,The staff prepared the loss for today's schedule.,직원들은 오늘 일정에 맞춰 '손실' 관련 내용을 준비했습니다.
market,시장,basic,The manager reviewed the market before the meeting.,관리자는 회의 전에 '시장' 관련 내용을 검토했습니다.
shop,가게,basic,Please check the shop before you leave the office.,사무실을 떠나기 전에 '가게' 관련 내용을 확인해 주세요.
store,상점,basic,The store was mentioned in the company announcement.,회사 공지에서 '상점' 관련 내용이 언급되었습니다.
restaurant,식당,basic,We discussed the restaurant during the morning meeting.,우리는 오전 회의에서 '식당' 관련 내용을 논의했습니다.
hotel,호텔,basic,The staff prepared the hotel for today's schedule.,직원들은 오늘 일정에 맞춰 '호텔' 관련 내용을 준비했습니다.
reservation,예약,basic,The manager reviewed the reservation before the meeting.,관리자는 회의 전에 '예약' 관련 내용을 검토했습니다.
ticket,"표, 티켓",basic,Please check the ticket before you leave the office.,"사무실을 떠나기 전에 '표, 티켓' 관련 내용을 확인해 주세요."
trip,여행,basic,The trip was mentioned in the company announcement.,회사 공지에서 '여행' 관련 내용이 언급되었습니다.
travel,여행,basic,We discussed the travel during the morning meeting.,우리는 오전 회의에서 '여행' 관련 내용을 논의했습니다.
tour,"여행, 관광",basic,The staff prepared the tour for today's schedule.,"직원들은 오늘 일정에 맞춰 '여행, 관광' 관련 내용을 준비했습니다."
flight,항공편,basic,The manager reviewed the flight before the meeting.,관리자는 회의 전에 '항공편' 관련 내용을 검토했습니다.
airport,공항,basic,Please check the airport before you leave the office.,사무실을 떠나기 전에 '공항' 관련 내용을 확인해 주세요.
airline,항공사,basic,The airline was mentioned in the company announcement.,회사 공지에서 '항공사' 관련 내용이 언급되었습니다.
train,기차,basic,We discussed the train during the morning meeting.,우리는 오전 회의에서 '기차' 관련 내용을 논의했습니다.
station,역,basic,The staff prepared the station for today's schedule.,직원들은 오늘 일정에 맞춰 '역' 관련 내용을 준비했습니다.
bus,버스,basic,The manager reviewed the bus before the meeting.,관리자는 회의 전에 '버스' 관련 내용을 검토했습니다.
taxi,택시,basic,Please check the taxi before you leave the office.,사무실을 떠나기 전에 '택시' 관련 내용을 확인해 주세요.
car,자동차,basic,The car was mentioned in the company announcement.,회사 공지에서 '자동차' 관련 내용이 언급되었습니다.
vehicle,차량,basic,We discussed the vehicle during the morning meeting.,우리는 오전 회의에서 '차량' 관련 내용을 논의했습니다.
road,도로,basic,The staff prepared the road for today's schedule.,직원들은 오늘 일정에 맞춰 '도로' 관련 내용을 준비했습니다.
traffic,교통,basic,The manager reviewed the traffic before the meeting.,관리자는 회의 전에 '교통' 관련 내용을 검토했습니다.
parking,주차,basic,Please check the parking before you leave the office.,사무실을 떠나기 전에 '주차' 관련 내용을 확인해 주세요.
delivery,배송,basic,The delivery was mentioned in the company announcement.,회사 공지에서 '배송' 관련 내용이 언급되었습니다.
package,"소포, 포장",basic,We discussed the package during the morning meeting.,"우리는 오전 회의에서 '소포, 포장' 관련 내용을 논의했습니다."
box,상자,basic,The staff prepared the box for today's schedule.,직원들은 오늘 일정에 맞춰 '상자' 관련 내용을 준비했습니다.
shipment,"배송, 선적",basic,The manager reviewed the shipment before the meeting.,"관리자는 회의 전에 '배송, 선적' 관련 내용을 검토했습니다."
warehouse,창고,basic,Please check the warehouse before you leave the office.,사무실을 떠나기 전에 '창고' 관련 내용을 확인해 주세요.
factory,공장,basic,The factory was mentioned in the company announcement.,회사 공지에서 '공장' 관련 내용이 언급되었습니다.
production,생산,basic,We discussed the production during the morning meeting.,우리는 오전 회의에서 '생산' 관련 내용을 논의했습니다.
material,"재료, 자재",basic,The staff prepared the material for today's schedule.,"직원들은 오늘 일정에 맞춰 '재료, 자재' 관련 내용을 준비했습니다."
supply,"공급품, 공급",basic,The manager reviewed the supply before the meeting.,"관리자는 회의 전에 '공급품, 공급' 관련 내용을 검토했습니다."
stock,재고,basic,Please check the stock before you leave the office.,사무실을 떠나기 전에 '재고' 관련 내용을 확인해 주세요.
inventory,재고 목록,basic,The inventory was mentioned in the company announcement.,회사 공지에서 '재고 목록' 관련 내용이 언급되었습니다.
quality,품질,basic,We discussed the quality during the morning meeting.,우리는 오전 회의에서 '품질' 관련 내용을 논의했습니다.
quantity,수량,basic,The staff prepared the quantity for today's schedule.,직원들은 오늘 일정에 맞춰 '수량' 관련 내용을 준비했습니다.
size,크기,basic,The manager reviewed the size before the meeting.,관리자는 회의 전에 '크기' 관련 내용을 검토했습니다.
color,색상,basic,Please check the color before you leave the office.,사무실을 떠나기 전에 '색상' 관련 내용을 확인해 주세요.
design,디자인,basic,The design was mentioned in the company announcement.,회사 공지에서 '디자인' 관련 내용이 언급되었습니다.
model,"모델, 유형",basic,We discussed the model during the morning meeting.,"우리는 오전 회의에서 '모델, 유형' 관련 내용을 논의했습니다."
sample,"견본, 샘플",basic,The staff prepared the sample for today's schedule.,"직원들은 오늘 일정에 맞춰 '견본, 샘플' 관련 내용을 준비했습니다."
catalog,카탈로그,basic,The manager reviewed the catalog before the meeting.,관리자는 회의 전에 '카탈로그' 관련 내용을 검토했습니다.
brand,브랜드,basic,Please check the brand before you leave the office.,사무실을 떠나기 전에 '브랜드' 관련 내용을 확인해 주세요.
advertisement,광고,basic,The advertisement was mentioned in the company announcement.,회사 공지에서 '광고' 관련 내용이 언급되었습니다.
marketing,마케팅,basic,We discussed the marketing during the morning meeting.,우리는 오전 회의에서 '마케팅' 관련 내용을 논의했습니다.
promotion,"홍보, 판촉",basic,The staff prepared the promotion for today's schedule.,"직원들은 오늘 일정에 맞춰 '홍보, 판촉' 관련 내용을 준비했습니다."
event,행사,basic,The manager reviewed the event before the meeting.,관리자는 회의 전에 '행사' 관련 내용을 검토했습니다.
conference,"회의, 학회",basic,Please check the conference before you leave the office.,"사무실을 떠나기 전에 '회의, 학회' 관련 내용을 확인해 주세요."
seminar,세미나,basic,The seminar was mentioned in the company announcement.,회사 공지에서 '세미나' 관련 내용이 언급되었습니다.
workshop,워크숍,basic,We discussed the workshop during the morning meeting.,우리는 오전 회의에서 '워크숍' 관련 내용을 논의했습니다.
presentation,발표,basic,The staff prepared the presentation for today's schedule.,직원들은 오늘 일정에 맞춰 '발표' 관련 내용을 준비했습니다.
speech,연설,basic,The manager reviewed the speech before the meeting.,관리자는 회의 전에 '연설' 관련 내용을 검토했습니다.
lecture,강의,basic,Please check the lecture before you leave the office.,사무실을 떠나기 전에 '강의' 관련 내용을 확인해 주세요.
class,수업,basic,The class was mentioned in the company announcement.,회사 공지에서 '수업' 관련 내용이 언급되었습니다.
course,"과정, 강좌",basic,We discussed the course during the morning meeting.,"우리는 오전 회의에서 '과정, 강좌' 관련 내용을 논의했습니다."
student,학생,basic,The staff prepared the student for today's schedule.,직원들은 오늘 일정에 맞춰 '학생' 관련 내용을 준비했습니다.
teacher,교사,basic,The manager reviewed the teacher before the meeting.,관리자는 회의 전에 '교사' 관련 내용을 검토했습니다.
instructor,강사,basic,Please check the instructor before you leave the office.,사무실을 떠나기 전에 '강사' 관련 내용을 확인해 주세요.
school,학교,basic,The school was mentioned in the company announcement.,회사 공지에서 '학교' 관련 내용이 언급되었습니다.
college,대학,basic,We discussed the college during the morning meeting.,우리는 오전 회의에서 '대학' 관련 내용을 논의했습니다.
library,도서관,basic,The staff prepared the library for today's schedule.,직원들은 오늘 일정에 맞춰 '도서관' 관련 내용을 준비했습니다.
book,책,basic,The manager reviewed the book before the meeting.,관리자는 회의 전에 '책' 관련 내용을 검토했습니다.
magazine,잡지,basic,Please check the magazine before you leave the office.,사무실을 떠나기 전에 '잡지' 관련 내용을 확인해 주세요.
newspaper,신문,basic,The newspaper was mentioned in the company announcement.,회사 공지에서 '신문' 관련 내용이 언급되었습니다.
article,"기사, 글",basic,We discussed the article during the morning meeting.,"우리는 오전 회의에서 '기사, 글' 관련 내용을 논의했습니다."
survey,설문조사,basic,The staff prepared the survey for today's schedule.,직원들은 오늘 일정에 맞춰 '설문조사' 관련 내용을 준비했습니다.
question,질문,basic,The manager reviewed the question before the meeting.,관리자는 회의 전에 '질문' 관련 내용을 검토했습니다.
answer,답변,basic,Please check the answer before you leave the office.,사무실을 떠나기 전에 '답변' 관련 내용을 확인해 주세요.
problem,문제,basic,The problem was mentioned in the company announcement.,회사 공지에서 '문제' 관련 내용이 언급되었습니다.
solution,해결책,basic,We discussed the solution during the morning meeting.,우리는 오전 회의에서 '해결책' 관련 내용을 논의했습니다.
idea,아이디어,basic,The staff prepared the idea for today's schedule.,직원들은 오늘 일정에 맞춰 '아이디어' 관련 내용을 준비했습니다.
opinion,의견,basic,The manager reviewed the opinion before the meeting.,관리자는 회의 전에 '의견' 관련 내용을 검토했습니다.
decision,결정,basic,Please check the decision before you leave the office.,사무실을 떠나기 전에 '결정' 관련 내용을 확인해 주세요.
change,"변화, 변경",basic,The change was mentioned in the company announcement.,"회사 공지에서 '변화, 변경' 관련 내용이 언급되었습니다."
improvement,개선,basic,We discussed the improvement during the morning meeting.,우리는 오전 회의에서 '개선' 관련 내용을 논의했습니다.
progress,"진행, 진전",basic,The staff prepared the progress for today's schedule.,"직원들은 오늘 일정에 맞춰 '진행, 진전' 관련 내용을 준비했습니다."
success,성공,basic,The manager reviewed the success before the meeting.,관리자는 회의 전에 '성공' 관련 내용을 검토했습니다.
failure,실패,basic,Please check the failure before you leave the office.,사무실을 떠나기 전에 '실패' 관련 내용을 확인해 주세요.
chance,"기회, 가능성",basic,The chance was mentioned in the company announcement.,"회사 공지에서 '기회, 가능성' 관련 내용이 언급되었습니다."
opportunity,기회,basic,We discussed the opportunity during the morning meeting.,우리는 오전 회의에서 '기회' 관련 내용을 논의했습니다.
reason,이유,basic,The staff prepared the reason for today's schedule.,직원들은 오늘 일정에 맞춰 '이유' 관련 내용을 준비했습니다.
purpose,목적,basic,The manager reviewed the purpose before the meeting.,관리자는 회의 전에 '목적' 관련 내용을 검토했습니다.
example,"예, 사례",basic,Please check the example before you leave the office.,"사무실을 떠나기 전에 '예, 사례' 관련 내용을 확인해 주세요."
difference,차이,basic,The difference was mentioned in the company announcement.,회사 공지에서 '차이' 관련 내용이 언급되었습니다.
amount,"양, 금액",basic,We discussed the amount during the morning meeting.,"우리는 오전 회의에서 '양, 금액' 관련 내용을 논의했습니다."
total,합계,basic,The staff prepared the total for today's schedule.,직원들은 오늘 일정에 맞춰 '합계' 관련 내용을 준비했습니다.
average,평균,basic,The manager reviewed the average before the meeting.,관리자는 회의 전에 '평균' 관련 내용을 검토했습니다.
rate,"비율, 요금",basic,Please check the rate before you leave the office.,"사무실을 떠나기 전에 '비율, 요금' 관련 내용을 확인해 주세요."
increase,증가,basic,The increase was mentioned in the company announcement.,회사 공지에서 '증가' 관련 내용이 언급되었습니다.
decrease,감소,basic,We discussed the decrease during the morning meeting.,우리는 오전 회의에서 '감소' 관련 내용을 논의했습니다.
growth,성장,basic,The staff prepared the growth for today's schedule.,직원들은 오늘 일정에 맞춰 '성장' 관련 내용을 준비했습니다.
demand,수요,basic,The manager reviewed the demand before the meeting.,관리자는 회의 전에 '수요' 관련 내용을 검토했습니다.
competition,경쟁,basic,Please check the competition before you leave the office.,사무실을 떠나기 전에 '경쟁' 관련 내용을 확인해 주세요.
industry,산업,basic,The industry was mentioned in the company announcement.,회사 공지에서 '산업' 관련 내용이 언급되었습니다.
economy,경제,basic,We discussed the economy during the morning meeting.,우리는 오전 회의에서 '경제' 관련 내용을 논의했습니다.
community,지역사회,basic,The staff prepared the community for today's schedule.,직원들은 오늘 일정에 맞춰 '지역사회' 관련 내용을 준비했습니다.
government,정부,basic,The manager reviewed the government before the meeting.,관리자는 회의 전에 '정부' 관련 내용을 검토했습니다.
law,법,basic,Please check the law before you leave the office.,사무실을 떠나기 전에 '법' 관련 내용을 확인해 주세요.
rule,규칙,basic,The rule was mentioned in the company announcement.,회사 공지에서 '규칙' 관련 내용이 언급되었습니다.
policy,"정책, 방침",basic,We discussed the policy during the morning meeting.,"우리는 오전 회의에서 '정책, 방침' 관련 내용을 논의했습니다."
procedure,절차,basic,The staff prepared the procedure for today's schedule.,직원들은 오늘 일정에 맞춰 '절차' 관련 내용을 준비했습니다.
requirement,요건,basic,The manager reviewed the requirement before the meeting.,관리자는 회의 전에 '요건' 관련 내용을 검토했습니다.
standard,기준,basic,Please check the standard before you leave the office.,사무실을 떠나기 전에 '기준' 관련 내용을 확인해 주세요.
condition,"조건, 상태",basic,The condition was mentioned in the company announcement.,"회사 공지에서 '조건, 상태' 관련 내용이 언급되었습니다."
contract,계약,basic,We discussed the contract during the morning meeting.,우리는 오전 회의에서 '계약' 관련 내용을 논의했습니다.
agreement,"합의, 계약",basic,The staff prepared the agreement for today's schedule.,"직원들은 오늘 일정에 맞춰 '합의, 계약' 관련 내용을 준비했습니다."
customer service,고객 서비스,basic,The manager reviewed the customer service before the meeting.,관리자는 회의 전에 '고객 서비스' 관련 내용을 검토했습니다.
membership,회원 자격,basic,Please check the membership before you leave the office.,사무실을 떠나기 전에 '회원 자격' 관련 내용을 확인해 주세요.
member,회원,basic,The member was mentioned in the company announcement.,회사 공지에서 '회원' 관련 내용이 언급되었습니다.
visitor,방문객,basic,We discussed the visitor during the morning meeting.,우리는 오전 회의에서 '방문객' 관련 내용을 논의했습니다.
guest,손님,basic,The staff prepared the guest for today's schedule.,직원들은 오늘 일정에 맞춰 '손님' 관련 내용을 준비했습니다.
owner,소유주,basic,The manager reviewed the owner before the meeting.,관리자는 회의 전에 '소유주' 관련 내용을 검토했습니다.
leader,"지도자, 팀장",basic,Please check the leader before you leave the office.,"사무실을 떠나기 전에 '지도자, 팀장' 관련 내용을 확인해 주세요."
director,"이사, 책임자",basic,The director was mentioned in the company announcement.,"회사 공지에서 '이사, 책임자' 관련 내용이 언급되었습니다."
president,"사장, 회장",basic,We discussed the president during the morning meeting.,"우리는 오전 회의에서 '사장, 회장' 관련 내용을 논의했습니다."
assistant,"보조원, 비서",basic,The staff prepared the assistant for today's schedule.,"직원들은 오늘 일정에 맞춰 '보조원, 비서' 관련 내용을 준비했습니다."
secretary,비서,basic,The manager reviewed the secretary before the meeting.,관리자는 회의 전에 '비서' 관련 내용을 검토했습니다.
receptionist,접수원,basic,Please check the receptionist before you leave the office.,사무실을 떠나기 전에 '접수원' 관련 내용을 확인해 주세요.
salesperson,판매원,basic,The salesperson was mentioned in the company announcement.,회사 공지에서 '판매원' 관련 내용이 언급되었습니다.
